RetailerGroupID,RetailerGroupName,RetailerGroupEnabled,RetailerGroupGUID,RetailerGroupLastModified,RetailerGroupLogoImage,RetailerGroupDisplayName,RetailerGroupHideInSelector,RetailerGroupSelectorPriceUrl
44, McKenzie & Willis BR_NZ,True,ac8a2185-f4aa-438d-8d7f-5bebf068172c,6/7/2017 4:58:32 PM,https://www.sleepmaker.com.au/Sleepmaker/media/Retailers/McKensieWillis.png?ext=.png, McKenzie & Willis,False,
6,Amart,True,719bd9ec-a017-4592-ae16-6037178b605f,4/18/2017 11:19:48 AM,~/getmedia/4f68b7da-994a-4798-b3bc-398db885d665/560x350_1.jpg.aspx?width=560&height=350&ext=.jpg,Amart,False,http://www.superamart.com.au/bedroom/brands/sleepmaker/
5,BacktoBed,True,189ff332-8486-44ec-b72b-5cd554ff4489,7/28/2015 11:42:07 PM,~/Sleepyhead/media/Retailer-Groups-Beds/back2bed.gif?width=560&height=350&ext=.gif,Back to Bed,False,
25,Bedpost,True,226c2e8d-19e4-4f98-a940-77758f313b6e,7/13/2016 10:36:18 PM,~/getmedia/573420c6-1c33-4350-9294-881a693c7d60/Untitled-1.jpg.aspx?width=560&height=350&ext=.jpg,Bedpost,False,
43,Bedpost BR_NZ,True,d2f45c9b-e409-4286-8db0-b85b209cd2af,5/18/2017 3:49:12 PM,https://www.sleepmaker.com.au/Sleepmaker/media/Retailers/Untitled-1.gif?ext=.gif,Bedpost,False,
8,Bedshed,True,63880d23-42d0-4892-8411-9f80a45292d5,12/18/2015 10:55:37 PM,~/Sleepmaker/media/Retailers/bedshed.gif?width=560&height=350&ext=.gif,Bedshed,False,http://www.bedshed.com.au/mattresses-and-ensembles/by-brand/sleepmaker
48,Bedshed BR_AU,True,bf3ec97d-d93b-475a-be34-7a4d60211d5e,6/9/2017 9:50:13 AM,https://www.sleepmaker.com.au/Sleepmaker/media/Retailers/bedshed.gif?ext=.gif,Bedshed,False,
3,BedsRUs,True,10ee35be-434f-4afc-a216-d2be0205f234,3/3/2016 9:00:32 PM,~/Sleepyhead/media/Retailer-Groups/bedsrus.gif?width=560&height=350&ext=.gif,Beds R Us,False,
7,BedsRUsAU,True,1fe6497c-513a-456e-b4f9-d84811a75e4a,12/18/2015 10:56:03 PM,~/Sleepmaker/media/Retailers/bedsrusAU.gif?width=560&height=350&ext=.gif,Beds R Us,False,http://bedsrus.com.au/our-range/mattresses?brand=81
27,Begents,True,be931005-8e15-4d70-9c2c-d3340d3c98f6,8/17/2015 11:47:25 PM,~/getmedia/ee6d926e-51d0-4740-a45e-e74a24aab3e3/Begents_560x350.png.aspx?width=560&height=350&ext=.png,Begents,False,
26,Clark Rubber,True,398819d4-6170-41fa-8216-3db50931fe9e,9/27/2016 10:08:01 PM,~/getmedia/df1f73a8-58a4-40b6-bacc-c0ca973bb867/Clark_Rubber.jpg.aspx?width=560&height=350&ext=.jpg,Clark Rubber,True,
9,DavidJones,True,ea41f1d8-982f-422a-8114-2102c45c776a,2/23/2017 11:46:48 AM,~/getmedia/bcb3e1af-c609-4c5e-9413-0c7db4c93a3a/DJ_560X350.jpg.aspx?width=560&height=350&ext=.jpg,David Jones,False,http://shop.davidjones.com.au/djs/en/davidjones/home-food/home-beds-mattresses
10,Domayne,True,3b2c9832-f64b-49ef-bccd-00c8e192a4c6,12/18/2015 10:57:01 PM,~/Sleepmaker/media/Retailers/domayne.gif?width=560&height=350&ext=.gif,Domayne,False,http://www.domayneonline.com.au/bedroom/mattresses-and-ensembles/sleepmaker/
1,Farmers,True,943bf26e-7212-4e8d-a064-18b1054ed44e,10/29/2014 4:10:49 PM,~/Sleepyhead/media/Retailer-Groups/farmers.gif?width=560&height=350&ext=.gif,Farmers,False,
40,Focus on Furniture,True,df494113-4e94-439e-adb0-93a86459d0c8,3/25/2017 1:29:35 AM,~/getmedia/5f2f2857-1897-49e7-a588-6bcc6b12b6f4/Focus-on-Furniture.png.aspx?width=360&height=112&ext=.png,Focus on Furniture,True,
11,FortyWinks,True,7c74406c-ee62-49fe-9391-f44831d63113,12/18/2015 10:57:19 PM,~/Sleepmaker/media/Retailers/forty-winks.gif?width=560&height=350&ext=.gif,Forty Winks,False,http://www.fortywinks.com.au/sleepmaker-bedding.html
17,Freedom,True,474b1885-2467-4ff0-ac18-28068985d87b,12/18/2015 10:57:45 PM,~/Sleepmaker/media/Retailers/freedom-bedroom.gif?width=560&height=350&ext=.gif,Freedom,False,http://www.freedom.com.au/furniture/bedroom/shop-by-mattress-brand/sleepmaker/?page=0
21,Furniture City,True,f1f87b1f-24e6-4016-8e8e-dbf54265037b,3/25/2017 1:26:17 AM,~/Sleepmaker/media/Retailers/FurnitureCity.png?width=560&height=350&ext=.png,FurnitureCity,False,
45,Furniture City BR_NZ,True,4d5e5455-8f58-425e-b480-935450c19b41,6/7/2017 5:11:27 PM,https://www.sleepmaker.com.au/Sleepmaker/media/Retailers/FurnitureCity.png?ext=.png,Furniture City,False,
33,H&JSmith,True,eba29455-5974-4f0f-a64c-52d790674677,3/9/2016 2:22:24 AM,http://www.sleepyhead.co.nz/getmedia/229b8c56-721f-4201-8809-76cfb210e297/HJ-Smith_560x350.gif.aspx?width=560&height=350&ext=.gif,H&J Smith,False,
19,Harvey Norman,False,c148bbf7-ae3c-4e8c-8de7-de9954d7843b,6/12/2015 3:42:13 AM,~/Sleepmaker/media/Retailers/harvey-norman.gif?width=560&height=350&ext=.gif,Harvey Norman NZ,False,
12,Harvey Norman AU,True,cfcccbaa-eb84-443f-87ea-9df548c4c87e,12/18/2015 10:58:04 PM,~/Sleepmaker/media/Retailers/harvey-norman.gif?width=560&height=350&ext=.gif,Harvey Norman,False,http://www.harveynorman.com.au/beds-manchester/bedroom/mattresses/sleepmaker/993
20,Harvey Norman NZ,True,2d39124c-3819-427d-af7c-a5694d6510a1,8/8/2015 7:48:17 PM,~/Sleepmaker/media/Retailers/harvey-norman.gif?width=560&height=350&ext=.gif,Harvey Norman ,False,
47,HarveyNorman BR_AU,True,1c35430c-c6cf-4dfd-9cf9-285fba6d3952,6/9/2017 9:50:42 AM,https://www.sleepmaker.com.au/Sleepmaker/media/Retailers/harvey-norman.gif?ext=.gif,Harvey Norman,False,
42,HarveyNorman BR_NZ,True,624d68ec-83c1-4a03-9961-e1075aeda07a,5/18/2017 10:00:32 AM,https://www.sleepmaker.com.au/Sleepmaker/media/Retailers/harvey-norman.gif?ext=.gif,Harvey Norman,False,
4,Independent NZ (SH),True,fa5db954-0530-4c57-a7fc-ae04e25f849b,3/31/2017 12:43:11 PM,~/Sleepyhead/media/Retailer-Groups/stockist-thumbnail.jpg?width=560&height=350&ext=.jpg,Independent,True,
13,IndependentAU (SM),True,b6da521e-ad3c-4858-8358-fdfeba5b9977,4/20/2017 2:38:59 PM,~/getmedia/74426433-9b89-4523-9b6d-d01c32e31050/SLM-ind-retailer-560x350-01.jpg.aspx?width=560&height=350&ext=.jpg,Other,False,
46,Independents BR_NZ,True,14d1f135-4e24-4b1e-a047-ee0f8f5e1089,6/8/2017 4:18:25 PM,https://www.sleepmaker.com.au/Sleepmaker/media/Retailers/harveynorman.png?ext=.png,Other,False,
23,McKenzie&Willis,True,055b7dd9-fe1f-4f5e-a8ae-c61f4fa20065,8/17/2015 2:55:07 AM,~/getmedia/1b618a4c-fe3f-4efc-a28c-7cd79f82d1d6/McKensieWillis.png.aspx?width=560&height=350&ext=.png,McKenzie & Willis,False,
14,Myer,True,8f80fb0d-c1c6-4650-901d-a4229262cac9,12/19/2015 2:50:57 AM,~/Sleepmaker/media/Retailers/myer.gif?width=560&height=350&ext=.gif,Myer,False,http://www.myer.com.au/shop/mystore/home/mattresses-bases
22,National NZ (SM),True,b8b9f374-084a-40ba-a30c-73121d049797,8/26/2015 1:51:01 AM,~/getmedia/fb7d353a-0f5d-4e47-9938-0ae647999e0e/SleepMaker-Independant-Retailer_560x350.jpg.aspx?width=560&height=350&ext=.jpg,National,False,
32,National SM,True,1f2a8ff4-dc1d-4dfd-b154-02ce6ed78209,8/21/2015 2:41:19 AM,~/getmedia/f55b5311-9ab2-46dc-9426-4eb45b9e2f38/National-SM.jpg.aspx?width=278&height=196&ext=.jpg,SleepMaker Independant Retailers,False,
41,Sleeping Giant,True,0a33cac4-ae39-433d-8903-e326030b2d03,3/25/2017 9:20:14 PM,~/getmedia/d34825f9-6c59-4e09-ac65-b14b0b09b359/sleeping-giant-logo2.png.aspx?width=293&height=90&ext=.png,Sleeping Giant,True,
15,Sleepys,True,584269a8-4ffb-4795-a53a-1f81d9938699,12/19/2015 2:51:55 AM,~/Sleepmaker/media/Retailers/sleepys.gif?width=560&height=350&ext=.gif,Sleepy's,False,http://www.sleepys.com.au/our-mattresses
18,Sleepzone,True,83e621fb-9ffa-48a9-a885-398e31d55015,11/11/2014 11:32:59 AM,~/Sleepmaker/media/Retailers/bedsrusAU.gif?width=560&height=350&ext=.gif,Sleepzone,False,
2,Smiths,True,42c0dd00-df0f-46f8-9d0d-648f8467cf39,3/21/2016 3:14:02 AM,https://www.sleepyhead.co.nz/Sleepyhead/media/Brands/logos-white/Smith-City-New-Logowhite_560x350.jpg?width=560&height=350&ext=.jpg,Smiths City,False,
16,Snooze,False,f7803994-077c-44db-bd85-9c65f226fb6d,2/26/2015 1:38:02 AM,~/Sleepmaker/media/Retailers/snooze.gif?width=560&height=350&ext=.gif,Snooze,False,
24,Target,True,6c08a626-35a2-4037-89af-8dc58b585fb0,7/27/2015 1:13:58 AM,~/getmedia/34df3312-e229-4030-a0b2-7425ba67043b/TargetFurniture.png.aspx?width=560&height=350&ext=.png,Target,False,
28,test,False,63cc147b-ac23-4272-9f41-cfa49d17398b,8/20/2015 8:56:51 AM,~/getmedia/9678958b-76dd-4a37-b4d7-c042b97141b2/freedom-bedroom.gif.aspx?width=560&height=350&ext=.gif,test,False,
29,Test,False,f10626f2-8f12-4789-83ab-26305fbc85c9,8/20/2015 9:01:23 AM,https://www.sleepmaker.com.au/getmedia/ac5ad749-ab2d-4cc0-9a63-cc03209a0796/amart.gif.aspx?width=560&height=350&ext=.gif,TEST,False,
30,test,False,05589408-f6da-4ac9-8d7f-061e7a0de392,8/21/2015 2:02:10 AM,~/getmedia/573420c6-1c33-4350-9294-881a693c7d60/Bedpost.png.aspx?width=560&height=350&ext=.png,test,False,
31,test,False,fdbe5eb1-3f78-4fc0-8068-9c132ff723f1,8/21/2015 2:04:09 AM,~/getmedia/ac5ad749-ab2d-4cc0-9a63-cc03209a0796/amart.gif.aspx?width=560&height=350&ext=.gif,test,True,
39,Test,False,cc6e2ac1-4fe3-475c-aac4-6c576355191b,11/14/2016 8:48:03 PM,~/getmedia/7a7132a2-5462-4bb3-9e4e-faa78858525f/BP_Miracoil-Advance_855x685.jpg.aspx?width=855&height=640&ext=.jpg,,False,
37,The Bed People,True,19f90e39-0dec-45dc-8dcb-5d4a1d3e460d,6/24/2016 4:21:57 AM,~/getmedia/b3031fa3-9a17-480a-9441-d9024cf8c961/The-Bedpeople-Logo-560x370.png.aspx?width=560&height=370&ext=.png,The Bed People,False,http://www.thebedpeople.co.nz
